PostalCode,Neighborhood,District,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
400029,A I staff colony,Mumbai,19.151622448165806,72.85498103682772,2.0,Indian Restaurant,Chinese Restaurant,Food Truck,Café,Pizza Place,Sporting Goods Shop,Fast Food Restaurant,Plaza,Lounge,Multiplex
400099,Airport,Mumbai,19.1030656,72.8635601180166,3.0,Hotel,Gym,Café,Vegetarian / Vegan Restaurant,Falafel Restaurant,Cupcake Shop,Dance Studio,Department Store,Design Studio,Dessert Shop
400004,Ambewadi,Mumbai,18.9387711,72.8353355,0.0,Indian Restaurant,Bar,Irani Cafe,Sandwich Place,Hotel,Seafood Restaurant,Café,Multiplex,Lounge,Train Station
400053,Andheri,Mumbai,19.14441955,72.82661210819862,2.0,Café,Indian Restaurant,Bakery,Chinese Restaurant,Coffee Shop,Park,Cupcake Shop,Dessert Shop,Gym / Fitness Center,Fast Food Restaurant
400069,Andheri East,Mumbai,19.130181654802662,72.85307961688851,2.0,Coffee Shop,Tea Room,Athletics & Sports,Bakery,Bike Rental / Bike Share,Falafel Restaurant,Creperie,Cupcake Shop,Dance Studio,Department Store
400058,Andheri Railway station,Mumbai,19.12573235,72.84267477586994,2.0,Vegetarian / Vegan Restaurant,Sandwich Place,Ice Cream Shop,Electronics Store,Coffee Shop,Falafel Restaurant,Creperie,Cupcake Shop,Dance Studio,Department Store
400037,Antop Hill,Mumbai,18.9387711,72.8353355,0.0,Indian Restaurant,Bar,Irani Cafe,Sandwich Place,Hotel,Seafood Restaurant,Café,Multiplex,Lounge,Train Station
400005,Asvini,Mumbai,18.9387711,72.8353355,0.0,Indian Restaurant,Bar,Irani Cafe,Sandwich Place,Hotel,Seafood Restaurant,Café,Multiplex,Lounge,Train Station
400053,Azad Nagar,Mumbai,19.14441955,72.82661210819862,2.0,Café,Indian Restaurant,Bakery,Chinese Restaurant,Coffee Shop,Park,Cupcake Shop,Dessert Shop,Gym / Fitness Center,Fast Food Restaurant
400003,B P t colony,Mumbai,18.9387711,72.8353355,0.0,Indian Restaurant,Bar,Irani Cafe,Sandwich Place,Hotel,Seafood Restaurant,Café,Multiplex,Lounge,Train Station
400051,B.N. bhavan,Mumbai,19.05821285,72.85176641447369,2.0,Indian Restaurant,Restaurant,Food Court,Pizza Place,Chinese Restaurant,Indie Movie Theater,Italian Restaurant,Bistro,Café,Bar
400003,B.P.lane,Mumbai,18.9387711,72.8353355,0.0,Indian Restaurant,Bar,Irani Cafe,Sandwich Place,Hotel,Seafood Restaurant,Café,Multiplex,Lounge,Train Station
400050,Bandra West,Mumbai,18.9387711,72.8353355,0.0,Indian Restaurant,Bar,Irani Cafe,Sandwich Place,Hotel,Seafood Restaurant,Café,Multiplex,Lounge,Train Station
